TACODE,TANAME,TAVERSION,NUMBER OF ALL ADDRESSES,NUMBER OF FULLY REGISTERED PROPERTIES,NUMBER OF EDW PROPERTIES,PROPS POTENTIALLY WARNED
011FWBWH,"Whitehaven Sea Lock failure, town centre and North Shore Rd",12,283,28,80,108
011FWCN1A,"Cumbrian coastline from Gretna to Silloth including Port Carlisle, Skinburness and Rockcliffe",7,107,44,44,88
011FWCN1B,"Cumbrian coastline from Gretna to Silloth, between Longtown and Skinburness",4,426,94,204,298
011FWCN2A,"Cumbrian coastline from Silloth to St Bees including Maryport, Flimby, Workington and Whitehaven",7,115,26,45,71
011FWCN2B,"Cumbrian coastline from Silloth to St Bees, between Allonby and Whitehaven",4,344,38,110,148
011FWCN2M,Cumbria coast at Maryport harbour,6,54,22,23,45
011FWCN3A,"Cumbrian coastline from St Bees Head to Haverigg, along the coast from North Head to Haverigg",9,63,36,17,53
011FWCN3B,"Cumbrian coastline from St Bees Head to Haverigg, between Braystones and Annaside",4,14,4,2,6
011FWCN4A,"Cumbrian coastline at Duddon estuary, at Haverigg to Duddon Bridge, Foxfield, Dunnerholme",7,186,68,77,145
011FWCN4B,"Cumbrian coastline at Duddon estuary, between Haverigg, Duddon Bridge, Dunnerholme and A595",5,1029,57,699,756
011FWCN5A,"Cumbrian coastline at Barrow in Furness, around Biggar, Rampside and Vickerstown",8,156,62,68,130
011FWCN5B,"Cumbrian coastline at Barrow in Furness, between North and South Walney, Cavendish and Ramsden Docks",4,96,28,42,70
011FWCN6A,"Cumbrian coastline at North Morecambe Bay, along the coast from Roosebeck to Carnforth",6,242,46,120,166
011FWCN6B,"Cumbrian coastline at North Morecambe Bay, between Roosebeck, Ulverston, Flookburgh and A590",5,524,123,254,377
011FWFNC10A,"River Eden at Warwick Bridge, Holme House, Bridge End and Holme Eden Hall",7,22,17,0,17
011FWFNC10B,"River Eden at Warwick Bridge, Warwick Park and Holme Eden Gardens",8,30,29,0,29
011FWFNC11A,River Eden between Newby East and Low Crosby,6,18,10,0,10
011FWFNC11B,River Eden at Warwick Holmes,4,,,,
011FWFNC11C,River Eden at Low Crosby Village and Holme Gate,4,122,102,13,115
011FWFNC13,River Eden at Edenhall,8,,,,
011FWFNC14,River Cocker at Southwaite Bridge,4,,,,
011FWFNC15,River Ehen at Low Mill,5,,,,
011FWFNC16,River Ehen at Braystones,5,21,12,0,12
011FWFNC17A,"Rivers Kent and Mint at Kendal, Westmorland Business Park, Burneside Road, Benson Green",9,104,30,34,64
011FWFNC17B,"Rivers Kent and Mint at Kendal, Lake District Business Park, Busher Walk, New Road, Aynam Road",12,194,86,74,160
011FWFNC17C,"River Kent at Kendal, Mintsfeet, Wildman Street, Castle Street, Stramongate, Aynam Road, Lound Road",15,1040,407,420,827
011FWFNC17D,"Rivers Kent and Mint at Kendal, Mintsfeet Road South, Ann Street, Canal Head, Romney Gardens",12,873,249,379,628
011FWFNC18A,"River Kent at Burneside, Steeles Row and Carling Steps",9,18,13,0,13
011FWFNC18B,"River Kent at Burneside, Bournville, Carling Dale, Ivy Crescent, New Road",13,49,29,14,43
011FWFNC19,River Kent at Helsington Mills,8,,,,
011FWFNC1A,"River Eden at Appleby, The Sands, Cricket ground, King George's Field",8,61,55,2,57
011FWFNC1B,"River Eden at Appleby, Chapel Street, Bridge Street, Holme Street and Court, Low Wiend",8,148,96,30,126
011FWFNC1C,"River Eden at Appleby, Market Square, Boroughgate, Doomgate area",9,29,14,4,18
011FWFNC1D,"Appleby, Holme and Chapel Street and Cherry Row",4,54,44,6,50
011FWFNC20,River Kent at Sedgwick,1,12,6,0,6
011FWFNC21,River Eden at Wetheral,5,16,6,3,9
011FWFNC22,"River Derwent at Workington, Seaton Mill and Barepot",4,94,63,22,85
011FWFNC23,River Derwent at Camerton,2,,,,
011FWFNC24,Lochinvar Beck at Longtown,6,191,6,90,96
011FWFNC25,Thacka Beck at Penrith,4,724,24,398,422
011FWFNC26A,"Wiza Beck and Black Beck at Wigton, Station Rd",5,33,16,9,25
011FWFNC26B,"Speet Gill at Wigton, Burnfoot",3,21,11,8,19
011FWFNC26C,"Wiza Beck, Flosh Beck, Speet Gill and Black Beck at Wigton",4,171,47,82,129
011FWFNC27A,"Ullswater and River Eamont at Pooley Bridge, Ullswater Steamer Pier to B5320 Bridge",5,,,,
011FWFNC27B,"Ullswater and River Eamont at Pooley Bridge, The Eamont at Pooley Bridge Village",4,25,13,5,18
011FWFNC29,"Stock Beck at Kendal, from Calder Drive to the River Kent",7,481,199,195,394
011FWFNC29A,"Stock Beck at Sandylands, Lowther Parks Estate South of Castle Green Road",3,87,14,62,76
011FWFNC29B,"Stock Beck at Sandylands, from Whitbarrow Close to Calder Drive",3,79,7,66,73
011FWFNC29C,"Stock Beck at Appleby Rd, Spital Park, Fowl Ing, Mint Street, Dale Avenue, Kendal Business Park",2,372,134,184,318
011FWFNC2A,"River Eden at Armathwaite, The Castle and Brocklewath",6,13,9,0,9
011FWFNC2B,"River Eden at Armathwaite, Armathwaite Village and Low House",8,28,15,5,20
011FWFNC30A,"Whangs Beck at Egremont, Southey Avenue to Beck Side",6,141,22,79,101
011FWFNC30B,"Skirting Beck at Egremont, Milton Road to Beck Side",6,126,27,63,90
011FWFNC30C,"Skirting Beck at Egremont, Church View and Beck Side",4,45,11,19,30
011FWFNC31A,Town Beck at Ulverston from The Gill downstream to The Ellers area,2,577,64,272,336
011FWFNC31B,Town Beck at Ulverston from The Ellers to Dragley Beck,4,188,34,102,136
011FWFNC31C,Dragley Beck at Ulverston from Dragley Beck Bridge on Well Lane downstream to South Ulverston,2,106,13,67,80
011FWFNC31D,Dragley and Lunds Becks at South Ulverston,2,242,61,122,183
011FWFNC32A,"Poaka Beck, The Yarl, Hagg Gill and Butts Beck at Dalton in Furness including Town Centre, Queen St",4,181,31,90,121
011FWFNC32B,"Poaka Beck, The Yarl, Hagg Gill and Butts Beck at Dalton in Furness, Other areas at risk",2,272,44,151,195
011FWFNC33,River Roe and River Ive from Highbridge to Stockdalewath,3,49,26,20,46
011FWFNC34,Windermere (Lake Levels),3,291,74,91,165
011FWFNC35,River Leven at Newby Bridge and Backbarrow,5,66,17,34,51
011FWFNC36,Glenridding Beck at Glenridding,5,33,19,10,29
011FWFNC37,River Gowan at Staveley and Ings and River Kent at Staveley,7,382,116,121,237
011FWFNC38A,"River Eea at Cartmel and Cark, The Square, Cavendish St, Low Row, Fairfield",1,97,16,31,47
011FWFNC38B,"River Eea at Cartmel and Cark, Priest Lane, Town End, Fairfield",1,112,11,48,59
011FWFNC39,Coledale Beck at Braithwaite,1,137,40,52,92
011FWFNC3A,"River Eden at Carlisle, Rickerby Park, Swifts and Stoneyholme Golf Courses",9,,,,
011FWFNC3B,"River Eden at Carlisle, Etterby Terrace and Eden Place",17,27,24,0,24
011FWFNC3BP,"River Eden and Caldew at Carlisle, Devonshire Walk, West Coast Mainline, Bitts Park, Cricket Club",3,,,,
011FWFNC3C,"River Eden at Carlisle, Rickerby Village",14,43,37,0,37
011FWFNC3CUM,"River Caldew at Cummersdale, Factory",5,,,,
011FWFNC3D,"River Eden and Petteril at Carlisle, City Centre, Botcherby and Warwick Road",17,1759,1346,243,1589
011FWFNC3DH,"River Caldew at Carlisle, Denton Holme, Bousteads Grassing, James Street",6,2199,671,964,1635
011FWFNC3DUR,"Durranhill Beck at Durranhill, Botcherby and Eastern Way Carlisle",9,382,297,55,352
011FWFNC3F,"River Eden at Carlisle, Tesco Store Warwick Road",6,,,,
011FWFNC3HG,River Petteril at Harraby Green,9,157,49,72,121
011FWFNC3LC,Little Caldew at Carlisle,10,201,157,38,195
011FWFNC3ST,River Eden at Stainton,4,,,,
011FWFNC3VER,"River Caldew at Carlisle, Viaduct Estate Road area",4,,,,
011FWFNC3WH,Willowholme Surface Water,7,26,28,0,28
011FWFNC3WIL,"River Caldew and Eden at Carlisle, Willowholme, Caldewgate, Shaddongate",6,839,487,211,698
011FWFNC40,River Wyre at Harrington,1,186,4,111,115
011FWFNC41,"Whelpo Beck, Gill Beck and Cald Beck at Caldbeck",1,43,4,27,31
011FWFNC42A,Brampton Beck at Brampton,1,272,16,136,152
011FWFNC43,River Ellen at Blennerhasset and Baggrow,1,17,5,5,10
011FWFNC44,Blind Beck at Kendal,1,64,7,38,45
011FWFNC45,Parham Beck at Carlisle,1,262,22,160,182
011FWFNC46,Cairn Beck and Trout Beck at Warwick Bridge,1,80,13,24,37
011FWFNC47A,"Church Beck and Yewdale Beck at Coniston, around Ruskin Avenue and Lake Road",2,145,34,68,102
011FWFNC47B,"Church Beck and Yewdale Beck at Coniston, Yewdale Road and Hawkshead Old Road areas",2,153,19,73,92
011FWFNC48A,"River Rothay at Grasmere, White Bridge and Stock Lane",1,55,24,13,37
011FWFNC48B,"River Rothay at Grasmere, Broadgate, College Street and Town End",1,122,27,36,63
011FWFNC49,River Crake Valley,1,37,10,17,27
011FWFNC4A,"Rivers Cocker and Derwent at Cockermouth, Bridge St, Crown St, High Sand Lane and Main St",7,332,209,65,274
011FWFNC4B,"Rivers Cocker and Derwent at Cockermouth, Cricket Ground, Trout Hotel Car Park, Hatters Croft",6,19,17,0,17
011FWFNC4C,"River Cocker at Cockermouth, Market Place and Banks Court",9,80,38,18,56
011FWFNC4D,"River Cocker at Cockermouth, Challoner St, Croft Terrace, Jubilee Court and Rubbybanks Rd",8,208,118,55,173
011FWFNC4E,"River Derwent at Cockermouth, Gote Road to Derwent Mills area and Low Road",10,276,170,72,242
011FWFNC4F,Cockermouth Gote Road and St Leonards,2,104,65,35,100
011FWFNC50A,"Rivers in Ambleside, Rydal Road, Kirkfield, Rothay Park, Fisher Beck, The Borrans",1,393,52,200,252
011FWFNC50B,"Rivers in Ambleside, Rothay Road, Compston Road, Millans Park, Kirkfield, Fisher Beck",1,406,33,199,232
011FWFNC6A,"River Greta at Keswick, Keswick Campsite, Rugby Club and Quinta",5,,,,
011FWFNC6B,"River Greta at Keswick, Fitz Park and Riverside Flats areas",5,60,33,8,41
011FWFNC6C1,"River Greta at Keswick, The Forge area",3,15,8,0,8
011FWFNC6C2,"River Greta at Keswick, Lattrigg Close, Brundholme Gardens, Calvert's Bridge and Keswick Bridge",5,35,15,15,30
011FWFNC6D,"River Greta at Keswick, Crosthwaite Road, Limepots Road, High Hill and Church Lane areas",6,174,153,13,166
011FWFNC6E,"River Greta at Keswick, Elliot Park, Main Street and Pencil Works area",10,180,126,33,159
011FWFNC6EP,Elliot Park at Keswick,9,153,102,30,132
011FWFNC6F,"River Greta at Keswick, Main Street, Bank Street and Greta Side",4,156,71,43,114
011FWFNC6G,"River Greta at Keswick, Penrith Road and Wordsworth Street",4,97,55,29,84
011FWFNC6GP,Greta Street and Penrith Road at Keswick,4,25,16,0,16
011FWFNC6KC,Keswick Campsite,7,,,,
011FWFNC7A,"River Eamont at Eamont Bridge, Kemplay Foot, Skirsgill Lane and Southwaite Green Mill",13,109,71,24,95
011FWFNC7B,"River Eamont at Eamont Bridge, Old Post Office Row and Eamont Park",9,25,14,4,18
011FWFNC8A,"River Ehen at Egremont, Bleach Green, Ennerdale Mill, Bridge End, Vale View, Wood Bank, Rugby Club",5,58,36,12,48
011FWFNC8B,"River Ehen at Egremont, Beck Green, Bridge End, Croft Terrace and Cross Side areas",6,214,27,113,140
011FWFNC9,River Eden at Bolton,9,,,,
011WACN1,Coast from Gretna to Silloth,16,811,144,0,28
011WACN2,Coast from Silloth to St Bees,13,446,64,0,30
011WACN3,Coast from St Bees Head to Haverigg,14,145,53,0,23
011WACN4,Coast at Duddon estuary,4,1198,114,0,62
011WACN5,Coast at Barrow in Furness,14,254,90,0,22
011WACN6,Coast at North Morecambe Bay,12,750,170,0,82
011WAFBR,"Rivers Brathay, Rothay and Winster",11,2263,302,0,240
011WAFCD,"Rivers Cocker, Marron and Derwent",12,1580,662,0,363
011WAFDU,"Rivers Duddon, Crake and Mill Beck",12,2947,376,0,238
011WAFDW,"Upper River Derwent, Stonethwaite Beck and Derwent Water",16,63,16,0,15
011WAFED,"Rivers Ehen, Calder, Irt and Esk",10,1827,181,0,125
011WAFEI,Rivers Esk and Irthing,12,678,44,0,36
011WAFGB,"Rivers Greta, St Johns Beck and Bassenthwaite Lake",7,1580,550,0,248
011WAFKB,Rivers Kent and Bela,11,4534,1263,0,679
011WAFLE,Lower River Eden,11,5805,2582,0,978
011WAFLO,Rivers Lowther and Eamont,10,1150,171,0,106
011WAFME,Middle River Eden,11,421,105,0,60
011WAFPC,Rivers Caldew and Petteril,12,3982,1296,0,586
011WAFUE,Upper River Eden,12,758,243,0,161
011WAFWE,Rivers Wampool and Ellen,15,924,97,0,75
012FWBL33A,"Ribble estuary at Broadgate, around Riverside, The Continental pub and Preston Sports Club",6,110,55,37,92
012FWBL33B,"Ribble estuary at Broadgate, between Connaught Road and Fishergate Hill",7,1336,277,768,1045
012FWBL34A,Ribble estuary at Riversway Docklands,3,1484,121,789,910
012FWCTL01NA,"Lancashire coastline at North Morecambe Town, along Marine Road East and Central to Midland Hotel",5,461,35,259,294
012FWCTL01NB,"Lancashire coastline at North Morecambe Town, between Great Hestham, Torrisholme and Bare",3,4166,107,3151,3258
012FWCTL01SA,Lancashire coastline at South Morecambe Town,3,180,24,78,102
012FWCTL04A,Lancashire coastline at Heysham,13,,,,
